DAY_OF_MONTH,DAY_OF_WEEK,ORIGIN_WAC,DEST_WAC,DEP_DELAY,DEP_DEL15,ARR_DEL15,DISTANCE
1,7,3,23,-9.00,0.00,0.00,1576.00
1,7,3,23,-9.00,0.00,1.00,1576.00
1,7,3,23,-8.00,0.00,0.00,1576.00
1,7,3,23,-7.00,0.00,0.00,1576.00
1,7,4,23,-8.00,0.00,0.00,1605.00
1,7,11,23,-14.00,0.00,0.00,157.00
1,7,11,23,-9.00,0.00,0.00,196.00
1,7,11,23,-5.00,0.00,0.00,157.00
1,7,11,23,-5.00,0.00,0.00,196.00
1,7,11,23,-3.00,0.00,0.00,157.00
1,7,11,23,0.00,0.00,1.00,196.00
1,7,11,23,10.00,0.00,0.00,196.00
1,7,11,23,38.00,1.00,1.00,157.00
1,7,11,23,141.00,1.00,1.00,196.00
1,7,12,23,-7.00,0.00,0.00,364.00
1,7,12,23,-6.00,0.00,0.00,364.00
1,7,12,23,-1.00,0.00,0.00,364.00
1,7,12,23,8.00,0.00,1.00,364.00
1,7,12,23,62.00,1.00,1.00,364.00
1,7,13,23,,,,280.00
1,7,13,23,,,,280.00
1,7,13,23,,,,280.00
1,7,13,23,,,,496.00
1,7,13,23,,,,496.00
1,7,13,23,-9.00,0.00,0.00,280.00
1,7,13,23,-8.00,0.00,0.00,496.00
1,7,13,23,-8.00,0.00,0.00,496.00
1,7,13,23,-7.00,0.00,0.00,280.00
1,7,13,23,-7.00,0.00,0.00,280.00
1,7,13,23,-7.00,0.00,0.00,496.00
1,7,13,23,-5.00,0.00,0.00,496.00
1,7,13,23,-4.00,0.00,0.00,280.00
1,7,13,23,-4.00,0.00,0.00,280.00
1,7,13,23,-3.00,0.00,0.00,280.00
1,7,13,23,-2.00,0.00,0.00,496.00
1,7,13,23,-1.00,0.00,0.00,280.00
1,7,13,23,-1.00,0.00,0.00,280.00
1,7,13,23,0.00,0.00,0.00,280.00
1,7,13,23,1.00,0.00,0.00,280.00
1,7,13,23,5.00,0.00,0.00,280.00
1,7,13,23,5.00,0.00,0.00,280.00
1,7,13,23,13.00,0.00,1.00,280.00
1,7,13,23,25.00,1.00,1.00,280.00
1,7,13,23,28.00,1.00,1.00,496.00
1,7,13,23,56.00,1.00,1.00,280.00
1,7,13,23,69.00,1.00,1.00,280.00
1,7,13,23,74.00,1.00,1.00,280.00
1,7,13,23,74.00,1.00,1.00,496.00
1,7,13,23,92.00,1.00,1.00,496.00
1,7,13,23,97.00,1.00,1.00,496.00
1,7,13,23,104.00,1.00,1.00,280.00
1,7,13,23,106.00,1.00,1.00,280.00
1,7,13,23,143.00,1.00,1.00,280.00
1,7,13,23,179.00,1.00,1.00,280.00
1,7,13,23,183.00,1.00,1.00,280.00
1,7,13,23,222.00,1.00,1.00,280.00
1,7,14,23,-6.00,0.00,0.00,289.00
1,7,14,23,-4.00,0.00,0.00,289.00
1,7,14,23,-4.00,0.00,0.00,289.00
1,7,14,23,-3.00,0.00,0.00,289.00
1,7,14,23,68.00,1.00,1.00,289.00
1,7,15,23,-6.00,0.00,0.00,237.00
1,7,15,23,-5.00,0.00,0.00,237.00
1,7,15,23,36.00,1.00,1.00,237.00
1,7,15,23,69.00,1.00,1.00,237.00
1,7,15,23,76.00,1.00,1.00,237.00
1,7,16,23,-5.00,0.00,0.00,335.00
1,7,16,23,10.00,0.00,0.00,335.00
1,7,16,23,111.00,1.00,1.00,335.00
1,7,21,23,,,,319.00
1,7,21,23,-1.00,0.00,0.00,319.00
1,7,21,23,0.00,0.00,0.00,319.00
1,7,21,23,7.00,0.00,0.00,319.00
1,7,21,23,114.00,1.00,1.00,319.00
1,7,21,23,151.00,1.00,1.00,319.00
